"TITLE"	"SUMMARY"	"URL"	"change"
"Boeing reports 2Q loss"	"Boeing reports 2Q loss"	"http://sg.finance.yahoo.com/news/boeing-reports-2q-loss-114231029.html"	"N"
"Boeing posts lower-than-expected loss, stock jumps"	"Boeing posts lower-than-expected loss, stock jumps"	"http://in.finance.yahoo.com/news/boeing-posts-2nd-quarter-loss-125652250.html"	"N"
"Boeing CFO Smith to Speak at Jefferies Industrials Conference August 10"	"[at noodls] - CHICAGO, July 28, 2016/PRNewswire/ -- Boeing Chief Financial Officer and Executive Vice President of Corporate Development & Strategy Greg Smithwill speak at the Jefferies Industrials Conference ..."	"http://www.publicnow.com/view/CB43B160E3773A84F8B513FA379B972AA9A22DAB"	"Y"
"Boeing to Add Space Bins to Existing Alaska Airlines 737 Fleet"	"[at noodls] - OSHKOSH, Wis., July28, 2016 - Boeing (NYSE: BA) and Alaska Airlines announced today at EAA AirVenture Oshkosh that the Seattle-based airline will begin modifying in-service Boeing Sky Interior 737 airplanes ..."	"http://www.publicnow.com/view/E0177BEDD4069F77ABBC0DB8161387521E5764BB"	"Y"
"Boeing says it could end 747 production"	"Boeing says it could end 747 production"	"http://sg.finance.yahoo.com/news/boeing-says-could-end-747-123407916.html"	"Y"
"US STOCKS-Wall St recovers after Fed keeps rates unchanged"	"[Reuters - UK Focus] - Wall Street rebounded from earlier lows on Wednesday after the Federal Reserve left interest rates unchanged but opened the door to a resumption of monetary policy tightening this year. The Fed was not expected to move interest rates at its two-day meeting, ended on Wednesday, but investors have been anxious for hints about when an increase might come in light of concerns about fallout from Britain's vote in June to leave the European Union."	"http://uk.finance.yahoo.com/news/us-stocks-wall-st-recovers-185822450.html"	"Y"
"Boeing shares rise despite 1st quarterly loss since 2009"	"Boeing shares rise despite 1st quarterly loss since 2009"	"http://uk.finance.yahoo.com/news/boeing-shares-rise-despite-1st-173300263.html"	"Y"
"US STOCKS-Wall St ends lower after Fed keeps rates unchanged"	"[Reuters - UK Focus] - Wall Street ended lower on Wednesday after the Federal Reserve left interest rates unchanged but opened the door to a possible rate increase later this year. The Fed had not been expected to move interest rates at its two-day meeting, ended on Wednesday, but investors have been anxious for hints about when an increase might come in light of concerns about fallout from Britain's vote in June to leave the European Union."	"http://uk.finance.yahoo.com/news/us-stocks-wall-st-ends-202753415.html"	"Y"
"Boeing posts rare quarterly loss, mulls phasing out 747"	"Boeing posts rare quarterly loss, mulls phasing out 747"	"http://sg.finance.yahoo.com/news/boeing-reports-first-quarterly-loss-123751785.html"	"Y"
"Boeing Reports Loss For First Time Since 2009"	"Boeing Reports Loss For First Time Since 2009"	"http://uk.finance.yahoo.com/news/boeing-reports-loss-first-time-165100283.html"	"Y"
"Boeing's iconic 747 could come to an end"	"[AAP] - Boeing Co could end production of the iconic 747 aircraft as the world's biggest plane maker fights falling orders and pricing pressure on the plane, according to a regulatory filing. Boeing also cancelled plans to increase production of the 747 to one plane per month from 2019, and stuck to its earlier plan of halving the production rate in September 2016. Production rate on the 747, which was at 1.5 per month in June 2015, has gradually dropped to 1 a month in July 2016, signalling bad news for the jet's future plan."	"http://au.finance.yahoo.com/news/boeings-iconic-747-could-come-074302300.html"	"Y"
"Business Highlights"	"Business Highlights"	"http://sg.finance.yahoo.com/news/business-highlights-223404459.html"	"Y"
"U.S. allows American-made planes to be flown to Iran"	"U.S. allows American-made planes to be flown to Iran"	"http://sg.finance.yahoo.com/news/u-allows-american-made-planes-213937866.html"	"N"
"Boeing Forecasts Demand for 1,170 New Airplanes in Russia, CIS region"	"[at noodls] - MOSCOW, August 1, 2016 - Boeing forecasts market demand for 1,170 new airplanes in Russia and the CIS region over the next 20 years, valued at $140 billion. The company released the numbers ..."	"http://www.publicnow.com/view/14289848E128A2D5C1C42FB19E24994755D46D8A"	"N"
"How To YieldBoost BA To 6.3% Using Options"	"Shareholders of Boeing Co. (Symbol BA) looking to boost their income beyond the stock's 3.3% annualized dividend yield can sell the January 2018 covered call at the $150 strike and collect the premium based on the $5.75 bid, which"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/g86NZGNq_kA/how-to-yieldboost-ba-to-63-using-options-cm659684"	"N"
"Amazon 'Prime' plane takes flight"	"Amazon 'Prime' plane takes flight"	"http://uk.finance.yahoo.com/news/amazon-prime-plane-takes-flight-135157777.html"	"N"
"Bombardier Posts Quarterly Loss"	"Bombardier Posts Quarterly Loss"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wdJ3_JY3hkQ/bombardier-posts-quarterly-loss-20160805-00259"	"N"
"Neuberger Berman Hit With 401(k) Suit"	"Neuberger Berman Hit With 401(k) Suit"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NqbsPtAVHgQ/neuberger-berman-hit-with-401k-suit-20160805-00529"	"N"
"AMZN Stock: Should Amazon.com, Inc. Web Services Be Sweating Microsoft Corporation (MSFT)?"	"The odds of winning a million dollars in Vegas is higher than the odds of going through an analyst report about MicrosoftCorporation ( MSFT ) without reading about how MSFT"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Spp2Vq5JHT8/amzn-stock-should-amazoncom-inc-web-services-be-sweating-microsoft-corporation-msft-cm660775"	"N"
"3 Blue-Chip Covered Calls Paying Big Money"	"You may believe that, as a retired or income or conservative investor, that you should have no interest in options. But don't be so quick to judge. Selling covered calls"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/SLNJGJBgfCs/3-blue-chip-covered-calls-paying-big-money-cm660685"	"N"
"Amazon Reveals 'Prime Air' Cargo Jet"	"Amazon Reveals 'Prime Air' Cargo Jet"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/BEUNvuTpNDg/amazon-reveals-prime-air-cargo-jet-20160805-00042"	"N"
"Airbus closes on rival Boeing in jet order race"	"Airbus closes on rival Boeing in jet order race"	"http://sg.finance.yahoo.com/news/airbus-closes-rival-boeing-jet-183409217.html"	"N"
"Amazon Cargo Plane Takes Flight"	"Amazon Cargo Plane Takes Flight"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/gAEQ3YKZcVI/amazon-cargo-plane-takes-flight-20160805-00527"	"N"
"Boeing 787, 737 parts-manufacturing contract awarded to CIM Tools"	"Boeing 787, 737 parts-manufacturing contract awarded to CIM Tools"	"http://in.finance.yahoo.com/news/boeing-787-737-parts-manufacturing-122003150.html"	"N"
"Dubai airport reopens runway after Emirates crash, CEO says"	"Dubai airport reopens runway after Emirates crash, CEO says"	"http://sg.finance.yahoo.com/news/dubai-airport-reopens-runway-emirates-180241904.html"	"N"
"UK fraud probe casts shadow over Airbus jet sales"	"UK fraud probe casts shadow over Airbus jet sales"	"http://sg.finance.yahoo.com/news/uk-probe-airbuss-third-party-095351037.html"	"N"
"U.K. Escalates Airbus Probe -- WSJ"	"U.K. Escalates Airbus Probe -- WSJ"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/a7A6UfSuAlo/uk-escalates-airbus-probe--wsj-20160808-00025"	"N"
"Zacks Industry Outlook Highlights: Huntington Ingalls Industries, General Dynamics, Boeing, Raytheon and United Technologies"	"For Immediate Release Chicago, IL August 08, 2016 Today, Zacks Equity Research discusses Aerospace & Defense, Part 2, including Huntington Ingalls Industries, Inc. ( HII ), General Dynamics Corp. ( GD ), Boeing ( BA ), Raytheon Company ("	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/SGxcwUEYfxs/zacks-industry-outlook-highlights-huntington-ingalls-industries-general-dynamics-boeing-raytheon-and-united-technologies-cm661773"	"N"
"Europe Green-Lights a Space Monopoly to Combat ULA and SpaceX"	"Look  Up in the sky  Is it a bird? Is it a plane? No, it's a European space monopoly. Image source  Getty Images.  Will they? Won't they? They will"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TNSPINsjBiA/europe-green-lights-a-space-monopoly-to-combat-ula-and-spacex-cm661529"	"N"
"U.K. Probes Airbus Over Fraud, Bribery and Corruption Claims"	"U.K. Probes Airbus Over Fraud, Bribery and Corruption Claims"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wEUGFt1hlCE/uk-probes-airbus-over-fraud-bribery-and-corruption-claims-20160807-00064"	"N"
"Noteworthy Friday Option Activity: CPSI, BA, ITCI"	"Looking at options trading activity among components of the Russell 3000 index, there is noteworthy activity today in Computer Programs & Systems Inc (Symbol CPSI), where a total volume of 452 contracts has been traded thus far today, a"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/wcKM-cjhQnk/noteworthy-friday-option-activity-cpsi-ba-itci-cm661343"	"N"
"U.K. Investigates Airbus"	"U.K. Investigates Airbus"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Z1SpdZ7oowU/uk-investigates-airbus-20160807-00016"	"N"
"Uzbek Airlines plane makes emergency landing in Russia"	"Uzbek Airlines plane makes emergency landing in Russia"	"http://sg.finance.yahoo.com/news/uzbek-airlines-plane-makes-emergency-192029938.html"	"N"
"UK to probe Airbus's use of third-party agents to sell planes"	"[Reuters - UK Focus] - Airbus Group (Swiss: AIR.SW - news) faces potentially lengthy disruption to its business after Britain launched a criminal investigation into suspected irregularities in the use of third-party agents to win commercial jet sales. Europe's largest aerospace company said late on Sunday it had been notified that the UK's Serious Fraud Office had opened a formal probe after being alerted by the country's export credit agency to discrepancies relating to the disclosure of the work of local agents. The probe raises a sensitive issue for the industry because the agency, UK Export Finance, has for years locked horns with aerospace firms about the need for more transparency, even though it does not object outright to the use of intermediaries."	"http://uk.finance.yahoo.com/news/uk-probe-airbuss-third-party-094726109.html"	"N"
"UK fraud probe casts shadow over Airbus jet sales"	"[Reuters - UK Focus] - Airbus Group (Swiss: AIR.SW - news) is bracing for a lengthy period of uncertainty over its core commercial jetliner business after Britain said it would examine suspected irregularities in the use of third-party agents to win contracts. Europe's largest aerospace company said late on Sunday it had been notified that the UK's Serious Fraud Office had opened a formal criminal probe after being alerted by the country's export credit agency to discrepancies relating to the disclosure of the work of local agents. The probe raises a sensitive issue for the industry because the agency, UK Export Finance, has for years locked horns with aerospace firms about the need for more transparency, even though it does not object outright to the use of intermediaries."	"http://uk.finance.yahoo.com/news/uk-probe-airbuss-third-party-115527042.html"	"N"
"Boeing, Mauritania Airlines Finalize Order for One Next-Generation 737-800"	"[at noodls] - NOUAKCHOTT, Mauritania, Aug.8, 2016 - Boeing (NYSE:BA) and Mauritania Airlines have finalized an order for one Next-Generation 737-800 airplane, valued at $96 million at current list prices. ... This is ..."	"http://www.publicnow.com/view/C06892DB7EFF6D63501A0F2CDD95760CE9A9975D"	"N"
"MH370 plunged into ocean at high speed: report"	"MH370 plunged into ocean at high speed: report"	"http://sg.finance.yahoo.com/news/mh370-plunged-ocean-high-speed-065655201.html"	"N"
"Defense Stock Roundup: Huntington Ingalls Beats on Q2 Earnings; RTN, OA, GD, LMT in Focus"	"The second quarter reporting cycle is drawing to a close. As of Aug 5, 95.6% of the market cap of the aerospace and defense sector have released their quarterly numbers. Reported results reveal a 28.8% decline in second quarter"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/aZVInqHpb-A/defense-stock-roundup-huntington-ingalls-beats-on-q2-earnings-rtn-oa-gd-lmt-in-focus-cm662272"	"N"
"Boeing Company  (BA) Ex-Dividend Date Scheduled for August 10, 2016"	"Boeing Company ( BA ) will begin trading ex dividend on August 10, 2016. A cash dividend payment of $1.09 per share is scheduled to be paid on September 02, 2016. Shareholders who purchased BA prior to the ex"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ju3-kHMvefo/boeing-company-ba-ex-dividend-date-scheduled-for-august-10-2016-cm662390"	"N"
"Boeing Co To Present At Jefferies Industrials Conference; Webcast At 9:20 AM ET"	"Boeing Co To Present At Jefferies Industrials Conference; Webcast At 9:20 AM ET"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/iba4h0S9zj8/boeing-co-to-present-at-jefferies-industrials-conference-webcast-at-920-am-et-20160810-00364"	"N"
"Boeing To Present At Jefferies Industrials Conference; Webcast At 9:20 AM ET"	"Boeing To Present At Jefferies Industrials Conference; Webcast At 9:20 AM ET"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lTqVnKhWNTA/boeing-to-present-at-jefferies-industrials-conference-webcast-at-920-am-et-20160810-00169"	"N"
"Pentagon Not Ready to Launch Biggest Spy Satellites on SpaceX Rockets -- Update"	"Pentagon Not Ready to Launch Biggest Spy Satellites on SpaceX Rockets -- Update"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pao7XLvGLXY/pentagon-not-ready-to-launch-biggest-spy-satellites-on-spacex-rockets--update-20160809-01444"	"N"
"Boeing 777 Jet Production Decision Expected"	"Boeing 777 Jet Production Decision Expected"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/oezk-F4GRi4/boeing-777-jet-production-decision-expected-20160810-00688"	"N"
"U.S. Passes Over SpaceX For Some Spy Satellites -- WSJ"	"U.S. Passes Over SpaceX For Some Spy Satellites -- WSJ"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/NNdcU0mfx8I/us-passes-over-spacex-for-some-spy-satellites--wsj-20160810-00060"	"N"
"Boeing 777 Jet Production Decision Expected -- Update"	"Boeing 777 Jet Production Decision Expected -- Update"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/eXmup8t9GeM/boeing-777-jet-production-decision-expected--update-20160810-00745"	"N"
"Boeing's Weak Dreamliner Orders Don't Tell the Whole Story"	"It's no secret that Boeing (NYSE  BA) hasn't sold many Dreamliners recently. Year to date, it has brought in just 19 net orders for the 787 aircraft family.  Even including a commitment for five 787s"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Qpl_1MeCSZQ/boeings-weak-dreamliner-orders-dont-tell-the-whole-story-cm662645"	"N"
"How Boeing 787-9s Are Boosting United Airlines at San Francisco Hub"	"How Boeing 787-9s Are Boosting United Airlines at San Francisco Hub"	"https://www.thestreet.com/story/13671888/1/how-boeing-787-9s-are-boosting-united-airlines-at-san-francisco-hub.html?puc=yahoo&cm_ven=YAHOO"	"N"
"Boeing will not raise 787 production unless market demands it"	"Boeing will not raise 787 production unless market demands it"	"http://sg.finance.yahoo.com/news/boeing-may-not-raise-787-142016956.html"	"N"
"Orbital ATK (OA) Tops Q2 Earnings Estimates, Revenues Lag"	"Orbital ATK, Inc. 's OA second quarter 2016 adjusted earnings of $1.35 per share beat the Zacks Consensus Estimate of $1.30 per share by 3.8%.Reported earnings also surged 37.8% from the year ago tally of 98 cents. Total Revenue"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pebhxKLrzkA/orbital-atk-oa-tops-q2-earnings-estimates-revenues-lag-cm663522"	"N"
"7 Dividend Stocks That Really Crank Out the Cash"	"For income investors, finding above average yields from dividend stocks <U+613C><U+3E30>is good. But finding good yields and above average dividend growth is even better. Source 401(K) 2012 via FlickrOf course,"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/0Mw4ATE1wEY/7-dividend-stocks-that-really-crank-out-the-cash-cm663855"	"N"
"How Just 7 Stocks Can Take the Dow Up to 20,000 and Beyond"	"How Just 7 Stocks Can Take the Dow Up to 20,000 and Beyond"	"http://247wallst.com/investing/2016/08/11/how-just-7-stocks-can-take-the-dow-up-to-20000-and-beyond/"	"N"
"Flap May Help Unravel Flight 370's Final Moments"	"Flap May Help Unravel Flight 370's Final Moments"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/KJzuWiI3wbg/flap-may-help-unravel-flight-370s-final-moments-20160812-00332"	"N"
"Boeing software unit to open new analytics lab in Vancouver, B.C."	"[at American City Business Journals] - Boeing said Thursday it will open a new analytics laboratory in downtown Vancouver, British Columbia to develop new data-driven software products for airlines and other aircraft operators. The Boeing (NYSE-BA) project was unveiled at an aerospace industry conference in Vancouver by British Columbia's Technology and Innovation Minister Amrik Virk. <U+393C><U+3E33>We<U+393C><U+3E32>re delighted another tech giant is expanding its work in B.C.,<U+393C><U+3E34> Virk said in a statement issued by Boeing Canada."	"http://www.bizjournals.com/seattle/blog/techflash/2016/08/boeing-software-unit-to-open-new-analytics-lab-in.html?ana=yahoo"	"N"
"[$$] Flap May Help Unravel Flight 370's Final Moments"	"[$$] Flap May Help Unravel Flight 370's Final Moments"	"http://www.wsj.com/articles/flap-may-help-unravel-flight-370s-final-moments-1470979725?mod=yahoo_hs"	"N"
"Notable ETF Inflow Detected - DIA, UNH, BA, TRV"	"Looking today at week over week shares outstanding changes among the universe of ETFs covered at ETF Channel , one standout is the SPDR Dow Jones Industrial Average ETF (Symbol DIA) where we have detected an approximate $101.8 million"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/QwmCBehzb5E/notable-etf-inflow-detected-dia-unh-ba-trv-cm664137"	"N"
"Boeing to hire new India executive to boost sales and joint ventures as sales slow"	"Boeing to hire new India executive to boost sales and joint ventures as sales slow"	"http://www.bizjournals.com/seattle/blog/techflash/2016/08/boeing-to-hire-new-india-executive-to-boost-sales.html?ana=yahoo"	"N"
"Potential Game-Changing NATO Order Bundling for Precision-Guided Munitions"	"Potential Game-Changing NATO Order Bundling for Precision-Guided Munitions"	"http://247wallst.com/aerospace-defense/2016/08/11/potential-game-changing-nato-order-bundling-for-precision-guided-munitions/"	"N"
"Aces High: Iron Maiden star relaunches African airline"	"Aces High: Iron Maiden star relaunches African airline"	"http://uk.finance.yahoo.com/news/aces-high-iron-maiden-star-161935881.html"	"N"
"Pentagon Gives OK For 19 Boeing KC-46 Tankers Worth $2.8 Billion"	"Pentagon Gives OK For 19 Boeing KC-46 Tankers Worth $2.8 Billion"	"http://www.investors.com/news/production-decision-on-boeings-troubled-tanker-expected-soon/"	"N"
"Dow Movers: MCD, BA"	"In early trading on Monday, shares of Boeing ( BA ) topped the list of the day's best performing Dow Jones Industrial Average components, trading up 1.0%. Year to date, Boeing has lost about 7.1% of its value. And"	"http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/6CYvGx47y3w/dow-movers-mcd-ba-cm665296"	"N"
"[$$] Week in Review, August 13"	"[at Financial Times] - A round up of some of the week's most significant corporate events and news stories. Airbus criminal probe puts use of agents in spotlight This week will go down as an uncomfortable one for Airbus after ..."	"http://www.ft.com/cms/s/f14c78f2-609a-11e6-ae3f-77baadeb1c93,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev"	"N"
